id,sex,aim,age,height,weight,level,trainHands,trainLegs,trainBack,trainPress,trainChest,trainShoulders
110,m,weight loss,30,171,85,2,0,0,0,0,0,0
111,m,weight loss,31,167,72,6,0,0,0,0,0,0
112,m,weight loss,29,176,76,5,0,0,0,0,0,0
113,m,weight loss,32,175,92,2,0,0,0,0,0,0
114,m,weight loss,22,176,90,2,0,0,0,0,0,0
115,m,weight loss,25,177,83,5,0,0,0,0,0,0
116,m,weight loss,27,170,82,2,0,0,0,0,0,0
117,m,weight loss,32,168,82,3,0,0,0,0,0,0
118,m,weight loss,27,166,80,1,0,0,0,0,0,0
119,m,weight loss,28,176,94,3,0,0,0,0,0,0
120,m,weight loss,27,180,88,8,0,0,0,0,0,0
121,m,weight loss,34,175,78,6,0,0,0,0,0,0
122,m,weight loss,30,185,99,2,0,0,0,0,0,0
123,m,weight loss,31,171,73,6,0,0,0,0,0,0
124,m,weight loss,21,170,82,3,0,0,0,0,0,0
125,m,weight loss,34,184,94,7,0,0,0,0,0,0
126,m,weight loss,27,176,82,7,0,0,0,0,0,0
127,m,weight loss,28,188,95,7,0,0,0,0,0,0
128,m,weight loss,32,173,74,6,0,0,0,0,0,0
129,m,weight loss,29,175,72,6,0,0,0,0,0,0
130,m,weight loss,28,183,87,4,0,0,0,0,0,0
131,m,weight loss,25,171,84,2,0,0,0,0,0,0
132,m,weight loss,30,184,98,2,0,0,0,0,0,0
133,m,weight loss,27,175,80,8,0,0,0,0,0,0
134,m,weight loss,23,175,84,6,0,0,0,0,0,0
135,m,weight loss,27,179,89,5,0,0,0,0,0,0
136,m,weight loss,18,181,86,7,0,0,0,0,0,0
137,m,weight loss,24,181,91,7,0,0,0,0,0,0
138,m,weight loss,24,175,89,2,0,0,0,0,0,0
139,m,weight loss,31,176,89,2,0,0,0,0,0,0
140,m,weight loss,27,182,97,2,0,0,0,0,0,0
141,m,weight loss,25,174,91,1,0,0,0,0,0,0
142,m,weight loss,24,181,84,5,0,0,0,0,0,0
143,m,weight loss,27,173,80,5,0,0,0,0,0,0
144,m,weight loss,24,173,83,7,0,0,0,0,0,0
145,m,weight loss,31,172,86,3,0,0,0,0,0,0
146,m,weight loss,21,166,74,7,0,0,0,0,0,0
147,m,weight loss,36,173,86,1,0,0,0,0,0,0
148,m,weight loss,24,172,77,5,0,0,0,0,0,0
149,m,weight loss,21,167,76,7,0,0,0,0,0,0
150,m,weight loss,21,173,75,7,0,0,0,0,0,0
151,m,weight loss,25,177,87,7,0,0,0,0,0,0
152,m,weight loss,31,169,75,8,0,0,0,0,0,0
153,m,weight loss,33,172,70,6,0,0,0,0,0,0
154,m,weight loss,24,179,94,1,0,0,0,0,0,0
155,m,weight loss,29,177,83,6,0,0,0,0,0,0
156,m,weight loss,27,173,85,2,0,0,0,0,0,0
157,m,weight loss,25,178,79,4,0,0,0,0,0,0
158,m,weight loss,32,181,93,2,0,0,0,0,0,0
159,m,weight loss,24,175,91,3,0,0,0,0,0,0
160,m,weight loss,25,173,79,5,0,0,0,0,0,0
161,m,weight loss,18,174,76,7,0,0,0,0,0,0
162,m,weight loss,20,177,86,6,0,0,0,0,0,0
163,m,weight loss,29,178,94,2,0,0,0,0,0,0
164,m,weight loss,28,170,84,1,0,0,0,0,0,0
165,m,weight loss,30,165,75,6,0,0,0,0,0,0
166,m,weight loss,31,162,69,6,0,0,0,0,0,0
167,m,weight loss,30,176,80,6,0,0,0,0,0,0
168,m,weight loss,22,180,83,7,0,0,0,0,0,0
169,m,weight loss,28,175,86,1,0,0,0,0,0,0
170,m,weight loss,27,172,78,7,0,0,0,0,0,0
171,m,weight loss,33,170,75,5,0,0,0,0,0,0
172,m,weight loss,18,170,72,6,0,0,0,0,0,0
173,m,weight loss,35,174,85,1,0,0,0,0,0,0
174,m,weight loss,24,175,94,2,0,0,0,0,0,0
175,m,weight loss,27,178,80,7,0,0,0,0,0,0
176,m,weight loss,21,181,98,1,0,0,0,0,0,0
177,m,weight loss,31,170,80,7,0,0,0,0,0,0
178,m,weight loss,31,176,85,7,0,0,0,0,0,0
179,m,weight loss,29,174,85,2,0,0,0,0,0,0
180,m,weight loss,22,172,87,1,0,0,0,0,0,0
181,m,weight loss,27,173,82,6,0,0,0,0,0,0
182,m,weight loss,32,172,88,1,0,0,0,0,0,0
183,m,weight loss,31,174,82,7,0,0,0,0,0,0
184,m,weight loss,18,171,78,6,0,0,0,0,0,0
185,m,weight loss,23,180,93,1,0,0,0,0,0,0
186,m,weight loss,26,173,85,2,0,0,0,0,0,0
187,m,weight loss,23,178,87,6,0,0,0,0,0,0
188,m,weight loss,30,176,93,2,0,0,0,0,0,0
189,m,weight loss,25,183,95,3,0,0,0,0,0,0
190,m,weight loss,27,176,90,1,0,0,0,0,0,0
191,m,weight loss,38,174,88,2,0,0,0,0,0,0
192,m,weight loss,27,175,91,3,0,0,0,0,0,0
193,m,weight loss,33,166,76,5,0,0,0,0,0,0
194,m,weight loss,21,176,86,5,0,0,0,0,0,0
195,m,weight loss,18,164,78,3,0,0,0,0,0,0
196,m,weight loss,26,181,97,2,0,0,0,0,0,0
197,m,weight loss,24,181,90,6,0,0,0,0,0,0
198,m,weight loss,26,179,91,2,0,0,0,0,0,0
199,m,weight loss,28,176,88,2,0,0,0,0,0,0
200,m,weight loss,34,173,82,5,0,0,0,0,0,0
201,m,weight loss,33,174,84,6,0,0,0,0,0,0
202,m,weight loss,30,175,86,3,0,0,0,0,0,0
203,m,weight loss,28,174,77,5,0,0,0,0,0,0
204,m,weight loss,24,174,86,2,0,0,0,0,0,0
205,m,weight loss,26,176,75,7,0,0,0,0,0,0
206,m,weight loss,30,169,87,2,0,0,0,0,0,0
207,m,weight loss,29,174,89,3,0,0,0,0,0,0
208,m,weight loss,18,163,68,6,0,0,0,0,0,0
209,m,weight loss,39,173,84,2,0,0,0,0,0,0
210,m,weight loss,21,174,76,6,0,0,0,0,0,0
211,m,weight loss,23,173,75,7,0,0,0,0,0,0
212,m,weight loss,28,177,84,6,0,0,0,0,0,0
213,m,weight loss,29,172,83,1,0,0,0,0,0,0
214,m,weight loss,23,167,90,3,0,0,0,0,0,0
215,m,weight loss,27,171,74,7,0,0,0,0,0,0
216,m,weight loss,27,171,83,1,0,0,0,0,0,0
217,m,weight loss,24,172,89,3,0,0,0,0,0,0
218,m,weight loss,25,175,81,5,0,0,0,0,0,0
219,m,weight loss,35,174,83,5,0,0,0,0,0,0
220,m,weight loss,23,174,81,6,0,0,0,0,0,0
221,m,weight loss,41,181,98,2,0,0,0,0,0,0
222,m,weight loss,28,173,84,3,0,0,0,0,0,0
223,m,weight loss,27,166,83,3,0,0,0,0,0,0
224,m,weight loss,36,176,96,3,0,0,0,0,0,0
225,m,weight loss,31,169,76,6,0,0,0,0,0,0
226,m,weight loss,38,169,80,3,0,0,0,0,0,0
227,m,weight loss,19,185,91,7,0,0,0,0,0,0
228,m,weight loss,29,181,86,6,0,0,0,0,0,0
229,m,weight loss,36,172,73,7,0,0,0,0,0,0
230,m,weight loss,25,162,71,5,0,0,0,0,0,0
231,m,weight loss,32,190,94,7,0,0,0,0,0,0
232,m,weight loss,22,182,96,3,0,0,0,0,0,0
233,m,weight loss,28,180,89,7,0,0,0,0,0,0
234,m,weight loss,33,173,81,5,0,0,0,0,0,0
235,m,weight loss,35,180,92,1,0,0,0,0,0,0
236,m,weight loss,34,173,92,2,0,0,0,0,0,0
237,m,weight loss,25,172,82,7,0,0,0,0,0,0
238,m,weight loss,25,173,86,2,0,0,0,0,0,0
239,m,weight loss,38,170,82,2,0,0,0,0,0,0
240,m,weight loss,23,170,81,2,0,0,0,0,0,0
241,m,weight loss,32,172,74,4,0,0,0,0,0,0
242,m,weight loss,25,173,85,1,0,0,0,0,0,0
243,m,weight loss,27,176,92,2,0,0,0,0,0,0
244,m,weight loss,29,177,83,5,0,0,0,0,0,0
245,m,weight loss,34,175,91,1,0,0,0,0,0,0
246,m,weight loss,25,174,90,2,0,0,0,0,0,0
247,m,weight loss,32,174,80,6,0,0,0,0,0,0
248,m,weight loss,34,161,79,1,0,0,0,0,0,0
249,m,weight loss,25,176,92,2,0,0,0,0,0,0
250,m,weight loss,25,172,78,6,0,0,0,0,0,0
251,m,weight loss,18,167,73,6,0,0,0,0,0,0
252,m,weight loss,24,167,78,6,0,0,0,0,0,0
253,m,weight loss,33,171,94,1,0,0,0,0,0,0
254,m,weight loss,26,168,77,5,0,0,0,0,0,0
255,m,weight loss,26,180,91,3,0,0,0,0,0,0
256,m,weight loss,25,181,99,3,0,0,0,0,0,0
257,m,weight loss,29,166,68,6,0,0,0,0,0,0
258,m,weight loss,34,175,93,2,0,0,0,0,0,0
259,m,weight loss,27,173,81,6,0,0,0,0,0,0
260,m,weight loss,26,170,86,3,0,0,0,0,0,0
261,m,weight loss,34,177,84,4,0,0,0,0,0,0
262,m,weight loss,26,166,73,6,0,0,0,0,0,0
263,m,weight loss,23,181,92,3,0,0,0,0,0,0
264,m,weight loss,29,181,92,1,0,0,0,0,0,0
265,m,weight loss,23,169,80,3,0,0,0,0,0,0
266,m,weight loss,30,179,85,5,0,0,0,0,0,0
267,m,weight loss,33,179,90,2,0,0,0,0,0,0
268,m,weight loss,24,166,73,6,0,0,0,0,0,0
269,m,weight loss,31,170,83,3,0,0,0,0,0,0
270,m,weight loss,25,180,88,7,0,0,0,0,0,0
271,m,weight loss,32,177,85,6,0,0,0,0,0,0
272,m,weight loss,30,175,85,7,0,0,0,0,0,0
273,m,weight loss,24,172,82,7,0,0,0,0,0,0
274,m,weight loss,28,173,82,5,0,0,0,0,0,0
275,m,weight loss,40,174,72,6,0,0,0,0,0,0
276,m,weight loss,24,181,84,7,0,0,0,0,0,0
277,m,weight loss,29,177,97,1,0,0,0,0,0,0
278,m,weight loss,28,180,82,5,0,0,0,0,0,0
279,m,weight loss,31,178,90,3,0,0,0,0,0,0
280,m,weight loss,23,170,83,3,0,0,0,0,0,0
281,m,weight loss,32,175,79,5,0,0,0,0,0,0
282,m,weight loss,23,173,83,6,0,0,0,0,0,0
283,m,weight loss,26,176,84,8,0,0,0,0,0,0
284,m,weight loss,22,175,76,7,0,0,0,0,0,0
285,m,weight loss,26,172,87,2,0,0,0,0,0,0
286,m,weight loss,27,177,83,6,0,0,0,0,0,0
287,m,weight loss,30,179,83,6,0,0,0,0,0,0
288,m,weight loss,30,173,71,6,0,0,0,0,0,0
289,m,weight loss,27,172,82,6,0,0,0,0,0,0
290,m,weight loss,27,169,79,5,0,0,0,0,0,0
291,m,weight loss,26,163,72,6,0,0,0,0,0,0
292,m,weight loss,27,167,62,5,0,0,0,0,0,0
293,m,weight loss,30,183,92,5,0,0,0,0,0,0
294,m,weight loss,21,173,79,5,0,0,0,0,0,0
295,m,weight loss,30,188,88,6,0,0,0,0,0,0
296,m,weight loss,27,177,90,3,0,0,0,0,0,0
297,m,weight loss,30,175,95,1,0,0,0,0,0,0
298,m,weight loss,31,176,84,6,0,0,0,0,0,0
299,m,weight loss,22,170,82,3,0,0,0,0,0,0
300,m,weight loss,23,171,85,2,0,0,0,0,0,0
301,m,weight loss,29,166,83,1,0,0,0,0,0,0
302,m,weight loss,34,172,83,2,0,0,0,0,0,0
303,m,weight loss,24,174,81,6,0,0,0,0,0,0
304,m,weight loss,29,184,100,1,0,0,0,0,0,0
305,m,weight loss,31,173,78,6,0,0,0,0,0,0
306,m,weight loss,30,178,93,3,0,0,0,0,0,0
307,m,weight loss,33,180,99,1,0,0,0,0,0,0
308,m,weight loss,21,179,88,6,0,0,0,0,0,0
309,m,weight loss,26,183,89,5,0,0,0,0,0,0
310,m,weight loss,34,181,95,2,0,0,0,0,0,0
311,m,weight loss,31,180,87,5,0,0,0,0,0,0
312,m,weight loss,40,167,74,6,0,0,0,0,0,0
313,m,weight loss,29,176,82,7,0,0,0,0,0,0
314,m,weight loss,30,177,80,7,0,0,0,0,0,0
315,m,weight loss,39,172,85,1,0,0,0,0,0,0
316,m,weight loss,23,179,88,7,0,0,0,0,0,0
317,m,weight loss,21,182,91,6,0,0,0,0,0,0
318,m,weight loss,30,176,89,1,0,0,0,0,0,0
319,m,weight loss,28,175,77,5,0,0,0,0,0,0
320,m,weight loss,29,180,88,8,0,0,0,0,0,0
321,m,weight loss,28,175,82,6,0,0,0,0,0,0
322,m,weight loss,18,165,74,6,0,0,0,0,0,0
323,m,weight loss,37,172,89,1,0,0,0,0,0,0
324,m,weight loss,20,178,80,7,0,0,0,0,0,0
325,m,weight loss,34,180,86,7,0,0,0,0,0,0
326,m,weight loss,26,176,85,6,0,0,0,0,0,0
327,m,weight loss,23,174,89,2,0,0,0,0,0,0
328,m,weight loss,31,171,84,1,0,0,0,0,0,0
329,m,weight loss,28,185,88,4,0,0,0,0,0,0
330,m,weight loss,30,176,79,6,0,0,0,0,0,0
331,m,weight loss,27,174,82,5,0,0,0,0,0,0
332,m,weight loss,31,170,77,7,0,0,0,0,0,0
333,m,weight loss,26,178,83,8,0,0,0,0,0,0
334,m,weight loss,35,178,89,2,0,0,0,0,0,0
335,m,weight loss,19,176,94,2,0,0,0,0,0,0
336,m,weight loss,24,185,89,6,0,0,0,0,0,0
337,m,weight loss,34,168,79,5,0,0,0,0,0,0
338,m,weight loss,30,174,86,1,0,0,0,0,0,0
339,m,weight loss,30,172,76,5,0,0,0,0,0,0
340,m,weight loss,31,178,88,6,0,0,0,0,0,0
341,m,weight loss,26,173,84,1,0,0,0,0,0,0
342,m,weight loss,30,176,83,6,0,0,0,0,0,0
343,m,weight loss,24,177,88,2,0,0,0,0,0,0
344,m,weight loss,23,169,72,7,0,0,0,0,0,0
345,m,weight loss,28,180,88,6,0,0,0,0,0,0
346,m,weight loss,18,173,78,6,0,0,0,0,0,0
347,m,weight loss,27,175,90,2,0,0,0,0,0,0
348,m,weight loss,30,179,97,1,0,0,0,0,0,0
349,m,weight loss,33,170,78,6,0,0,0,0,0,0
350,m,weight loss,36,180,93,3,0,0,0,0,0,0
351,m,weight loss,29,179,86,6,0,0,0,0,0,0
352,m,weight loss,33,177,90,3,0,0,0,0,0,0
353,m,weight loss,23,180,88,6,0,0,0,0,0,0
354,m,weight loss,18,178,86,7,0,0,0,0,0,0
355,m,weight loss,44,174,84,6,0,0,0,0,0,0
356,m,weight loss,44,175,83,6,0,0,0,0,0,0
357,m,weight loss,27,173,84,1,0,0,0,0,0,0
358,m,weight loss,33,172,80,7,0,0,0,0,0,0
359,m,weight loss,30,179,89,5,0,0,0,0,0,0
360,m,weight loss,24,172,80,7,0,0,0,0,0,0
361,m,weight loss,29,179,83,6,0,0,0,0,0,0
362,m,weight loss,29,168,82,3,0,0,0,0,0,0
363,m,weight loss,28,182,98,1,0,0,0,0,0,0
364,m,weight loss,28,180,80,7,0,0,0,0,0,0
365,m,weight loss,23,166,71,6,0,0,0,0,0,0
366,m,weight loss,27,170,82,1,0,0,0,0,0,0
367,m,weight loss,22,173,82,6,0,0,0,0,0,0
368,m,weight loss,26,177,82,7,0,0,0,0,0,0
369,m,weight loss,23,175,92,3,0,0,0,0,0,0
370,m,weight loss,34,175,88,1,0,0,0,0,0,0
371,m,weight loss,28,175,82,7,0,0,0,0,0,0
372,m,weight loss,24,172,77,6,0,0,0,0,0,0
373,m,weight loss,22,179,95,2,0,0,0,0,0,0
374,m,weight loss,36,173,80,5,0,0,0,0,0,0
375,m,weight loss,31,178,90,2,0,0,0,0,0,0
376,m,weight loss,23,174,76,6,0,0,0,0,0,0
377,m,weight loss,25,179,90,3,0,0,0,0,0,0
378,m,weight loss,28,169,84,1,0,0,0,0,0,0
379,m,weight loss,32,173,74,7,0,0,0,0,0,0
380,m,weight loss,18,180,85,6,0,0,0,0,0,0
381,m,weight loss,36,175,75,6,0,0,0,0,0,0
382,m,weight loss,26,171,90,1,0,0,0,0,0,0
383,m,weight loss,20,181,87,5,0,0,0,0,0,0
384,m,weight loss,25,168,85,3,0,0,0,0,0,0
385,m,weight loss,26,177,88,1,0,0,0,0,0,0
386,m,weight loss,26,179,96,2,0,0,0,0,0,0
387,m,weight loss,18,174,93,3,0,0,0,0,0,0
388,m,weight loss,31,164,69,6,0,0,0,0,0,0
389,m,weight loss,27,177,88,1,0,0,0,0,0,0
390,m,weight loss,22,169,78,5,0,0,0,0,0,0
391,m,weight loss,32,176,79,5,0,0,0,0,0,0
392,m,weight loss,23,173,79,6,0,0,0,0,0,0
393,m,weight loss,27,176,88,1,0,0,0,0,0,0
394,m,weight loss,30,173,78,7,0,0,0,0,0,0
395,m,weight loss,26,179,88,8,0,0,0,0,0,0
396,m,weight loss,36,170,71,7,0,0,0,0,0,0
397,m,weight loss,22,169,85,3,0,0,0,0,0,0
398,m,weight loss,25,174,87,2,0,0,0,0,0,0
399,m,weight loss,31,166,73,6,0,0,0,0,0,0
400,m,weight loss,19,170,80,6,0,0,0,0,0,0
401,m,weight loss,37,176,90,2,0,0,0,0,0,0
402,m,weight loss,30,167,82,1,0,0,0,0,0,0
403,m,weight loss,18,179,84,5,0,0,0,0,0,0
404,m,weight loss,25,184,93,5,0,0,0,0,0,0
405,m,weight loss,31,178,96,3,0,0,0,0,0,0
406,m,weight loss,28,167,78,7,0,0,0,0,0,0
407,m,weight loss,26,169,79,5,0,0,0,0,0,0
408,m,weight loss,28,166,85,3,0,0,0,0,0,0
409,m,weight loss,24,165,69,6,0,0,0,0,0,0
410,m,weight loss,29,172,81,5,0,0,0,0,0,0
411,m,weight loss,32,173,80,4,0,0,0,0,0,0
412,m,weight loss,32,171,85,1,0,0,0,0,0,0
413,m,weight loss,25,175,87,3,0,0,0,0,0,0
414,m,weight loss,18,179,86,6,0,0,0,0,0,0
415,m,weight loss,29,176,87,3,0,0,0,0,0,0
416,m,weight loss,27,173,81,7,0,0,0,0,0,0
417,m,weight loss,25,179,94,3,0,0,0,0,0,0
418,m,weight loss,31,174,81,6,0,0,0,0,0,0
419,m,weight loss,18,176,95,2,0,0,0,0,0,0
420,m,weight loss,30,169,72,5,0,0,0,0,0,0
421,m,weight loss,20,171,81,4,0,0,0,0,0,0
422,m,weight loss,29,168,69,6,0,0,0,0,0,0
423,m,weight loss,29,173,80,5,0,0,0,0,0,0
424,m,weight loss,30,179,90,2,0,0,0,0,0,0
425,m,weight loss,26,176,90,3,0,0,0,0,0,0
426,m,weight loss,22,174,80,7,0,0,0,0,0,0
427,m,weight loss,23,171,83,2,0,0,0,0,0,0
428,m,weight loss,29,181,90,6,0,0,0,0,0,0
429,m,weight loss,25,183,95,3,0,0,0,0,0,0
430,m,weight loss,33,171,75,5,0,0,0,0,0,0
431,m,weight loss,30,176,94,2,0,0,0,0,0,0
432,m,weight loss,31,178,78,6,0,0,0,0,0,0
433,m,weight loss,20,182,84,6,0,0,0,0,0,0
434,m,weight loss,32,176,81,5,0,0,0,0,0,0
435,m,weight loss,31,182,91,7,0,0,0,0,0,0
436,m,weight loss,31,171,87,2,0,0,0,0,0,0
437,m,weight loss,26,177,97,2,0,0,0,0,0,0
438,m,weight loss,24,177,89,3,0,0,0,0,0,0
439,m,weight loss,25,166,74,7,0,0,0,0,0,0
440,m,weight loss,32,176,93,2,0,0,0,0,0,0
441,m,weight loss,29,180,89,7,0,0,0,0,0,0
442,m,weight loss,31,166,74,6,0,0,0,0,0,0
443,m,weight loss,23,169,73,6,0,0,0,0,0,0
444,m,weight loss,18,186,96,5,0,0,0,0,0,0
445,m,weight loss,21,181,103,1,0,0,0,0,0,0
446,m,weight loss,24,176,87,1,0,0,0,0,0,0
447,m,weight loss,25,185,91,8,0,0,0,0,0,0
448,m,weight loss,18,178,86,7,0,0,0,0,0,0
449,m,weight loss,32,170,85,1,0,0,0,0,0,0
450,m,weight loss,30,176,82,5,0,0,0,0,0,0
451,m,weight loss,29,181,87,6,0,0,0,0,0,0
452,m,weight loss,24,169,76,6,0,0,0,0,0,0
453,m,weight loss,23,174,81,5,0,0,0,0,0,0
454,m,weight loss,24,173,85,1,0,0,0,0,0,0
455,m,weight loss,28,174,90,3,0,0,0,0,0,0
456,m,weight loss,27,175,87,3,0,0,0,0,0,0
457,m,weight loss,27,180,87,6,0,0,0,0,0,0
458,m,weight loss,26,174,87,3,0,0,0,0,0,0
459,m,weight loss,31,176,85,7,0,0,0,0,0,0
460,m,weight loss,25,180,84,5,0,0,0,0,0,0
461,m,weight loss,34,163,67,6,0,0,0,0,0,0
462,m,weight loss,27,173,76,5,0,0,0,0,0,0
463,m,weight loss,31,169,75,5,0,0,0,0,0,0
464,m,weight loss,28,165,83,3,0,0,0,0,0,0
465,m,weight loss,22,167,72,7,0,0,0,0,0,0
466,m,weight loss,25,183,91,6,0,0,0,0,0,0
467,m,weight loss,19,171,83,1,0,0,0,0,0,0
468,m,weight loss,24,170,77,6,0,0,0,0,0,0
469,m,weight loss,33,176,78,6,0,0,0,0,0,0
470,m,weight loss,27,176,86,7,0,0,0,0,0,0
471,m,weight loss,36,175,83,4,0,0,0,0,0,0
472,m,weight loss,26,176,84,7,0,0,0,0,0,0
473,m,weight loss,25,175,88,3,0,0,0,0,0,0
474,m,weight loss,21,179,87,5,0,0,0,0,0,0
475,m,weight loss,28,164,72,7,0,0,0,0,0,0
476,m,weight loss,29,170,88,1,0,0,0,0,0,0
477,m,weight loss,27,180,91,2,0,0,0,0,0,0
478,m,weight loss,18,172,81,8,0,0,0,0,0,0
479,m,weight loss,25,178,93,2,0,0,0,0,0,0
