body_part,equipment,name,muscle_group,difficulty,id
back,leverage machine,lever assisted chin-up,lats,7.0,74
shoulders,body weight,left hook. boxing,delts,7.0,75
back,cable,cable seated row,upper back,7.0,76
shoulders,cable,cable upright row,delts,7.0,77
back,cable,cable upper row,upper back,7.0,78
chest,cable,cable upper chest crossovers,pectorals,7.0,79
back,cable,cable thibaudeau kayak row,lats,7.0,80
shoulders,cable,cable standing rear delt row (with rope),delts,7.0,81
shoulders,cable,cable supine reverse fly,delts,7.0,82
back,cable,cable straight back seated row,upper back,7.0,83
chest,cable,cable standing up straight crossovers,pectorals,7.0,84
back,cable,cable standing twist row (v-bar),upper back,7.0,85
back,cable,cable wide grip rear pulldown behind neck,lats,7.0,86
back,cable,cable standing row (v-bar),upper back,7.0,87
back,cable,cable seated wide-grip row,upper back,7.0,88
back,body weight,mixed grip chin-up,lats,7.0,89
back,cable,cable seated high row (v-bar),lats,7.0,90
arms,cable,cable high pulley overhead tricep extension,triceps,7.0,91
back,cable,cable low seated row,upper back,7.0,92
chest,cable,cable low fly,pectorals,7.0,93
back,cable,cable lateral pulldown with v-bar,lats,7.0,94
back,cable,cable lateral pulldown (with rope attachment),lats,7.0,95
back,cable,cable lat pulldown full range of motion,lats,7.0,96
abs,cable,cable judo flip,abs,7.0,97
back,cable,cable incline pushdown,lats,7.0,98
chest,cable,cable incline fly (on stability ball),pectorals,7.0,99
chest,cable,cable incline fly,pectorals,7.0,100
back,cable,cable incline bench row,upper back,7.0,101
chest,cable,cable incline bench press,pectorals,7.0,102
back,cable,cable high row (kneeling),upper back,7.0,103
back,body weight,pull up (neutral grip),lats,7.0,104
chest,cable,cable seated chest press,pectorals,7.0,105
back,body weight,pull-up,lats,7.0,106
back,cable,cable floor seated wide-grip row,upper back,7.0,107
back,cable,cable decline seated wide-grip row,upper back,7.0,108
chest,cable,cable decline press,pectorals,7.0,109
chest,cable,cable decline one arm press,pectorals,7.0,110
chest,cable,cable decline fly,pectorals,7.0,111
chest,cable,cable cross-over variation,pectorals,7.0,112
back,cable,cable cross-over lateral pulldown,lats,7.0,113
chest,cable,cable bench press,pectorals,7.0,114
back,cable,cable bar lateral pulldown,lats,7.0,115
arms,cable,cable alternate triceps extension,triceps,7.0,116
shoulders,cable,cable alternate shoulder press,delts,7.0,117
back,cable,cable lying extension pullover (with rope attachment),lats,7.0,118
chest,cable,cable lying fly,pectorals,7.0,119
chest,cable,cable middle fly,pectorals,7.0,120
chest,cable,cable one arm decline chest fly,pectorals,7.0,121
back,cable,cable rope seated row,upper back,7.0,122
arms,cable,cable rope lying on floor tricep extension,triceps,7.0,123
arms,cable,cable rope incline tricep extension,triceps,7.0,124
arms,cable,cable rope high pulley overhead tricep extension,triceps,7.0,125
back,cable,cable rope extension incline bench row,upper back,7.0,126
back,cable,cable rope elevated seated row,upper back,7.0,127
back,cable,cable rope crossover seated row,upper back,7.0,128
back,cable,cable reverse-grip straight back seated high row,upper back,7.0,129
back,cable,cable rear pulldown,lats,7.0,130
arms,cable,cable rear drive,triceps,7.0,131
shoulders,cable,cable rear delt row (stirrups),delts,7.0,132
arms,cable,cable pulldown bicep curl,biceps,7.0,133
back,cable,cable pulldown (pro lat bar),lats,7.0,134
back,cable,cable pulldown,lats,7.0,135
legs,cable,cable pull through (with rope),glutes,7.0,136
chest,cable,cable press on exercise ball,pectorals,7.0,137
arms,cable,cable overhead triceps extension (rope attachment),triceps,7.0,138
back,cable,cable one arm straight back high row (kneeling),upper back,7.0,139
back,cable,cable one arm pulldown,lats,7.0,140
chest,cable,cable one arm press on exercise ball,pectorals,7.0,141
arms,body weight,one arm dip,triceps,7.0,142
chest,cable,cable one arm incline press on exercise ball,pectorals,7.0,143
chest,cable,cable one arm incline press,pectorals,7.0,144
chest,cable,cable one arm incline fly on exercise ball,pectorals,7.0,145
chest,cable,cable one arm fly on exercise ball,pectorals,7.0,146
back,body weight,chin-up,lats,7.0,147
abs,body weight,3/4 sit-up,abs,7.0,148
back,body weight,chin-ups (narrow parallel grip),upper back,7.0,149
chest,body weight,clap push up,pectorals,7.0,150
arms,body weight,handstand,triceps,7.0,151
back,dumbbell,dumbbell lying rear delt row,upper back,7.0,152
chest,dumbbell,dumbbell lying pullover on exercise ball,pectorals,7.0,153
abs,body weight,hanging leg hip raise,abs,7.0,154
abs,body weight,hanging leg raise,abs,7.0,155
abs,body weight,hanging oblique knee raise,abs,7.0,156
abs,body weight,hanging pike,abs,7.0,157
abs,body weight,hanging straight leg hip raise,abs,7.0,158
chest,dumbbell,dumbbell lying one arm press v. 2,pectorals,7.0,159
chest,dumbbell,dumbbell lying one arm press,pectorals,7.0,160
abs,body weight,hanging straight leg raise,abs,7.0,161
abs,body weight,hanging straight twisting leg hip raise,abs,7.0,162
chest,dumbbell,dumbbell lying hammer press,pectorals,7.0,163
arms,dumbbell,dumbbell lying elbow press,triceps,7.0,164
shoulders,dumbbell,dumbbell iron cross,delts,7.0,165
arms,dumbbell,dumbbell incline two arm extension,triceps,7.0,166
chest,dumbbell,dumbbell incline twisted flyes,pectorals,7.0,167
back,dumbbell,dumbbell incline shrug,traps,7.0,168
chest,dumbbell,dumbbell incline shoulder raise,serratus anterior,7.0,169
back,dumbbell,dumbbell incline row,upper back,7.0,170
shoulders,dumbbell,dumbbell incline rear lateral raise,delts,7.0,171
legs,body weight,inverse leg curl (bench support),hamstrings,7.0,172
chest,dumbbell,dumbbell incline press on exercise ball,pectorals,7.0,173
chest,dumbbell,dumbbell incline palm-in press,pectorals,7.0,174
chest,dumbbell,dumbbell incline one arm press on exercise ball,pectorals,7.0,175
legs,body weight,glute-ham raise,hamstrings,7.0,176
arms,dumbbell,dumbbell neutral grip bench press,triceps,7.0,177
back,body weight,gironda sternum chin,lats,7.0,178
chest,dumbbell,dumbbell reverse bench press,pectorals,7.0,179
shoulders,dumbbell,dumbbell standing alternate overhead press,delts,7.0,180
legs,dumbbell,dumbbell single leg deadlift,glutes,7.0,181
shoulders,dumbbell,dumbbell single arm overhead carry,delts,7.0,182
shoulders,dumbbell,dumbbell seated shoulder press (parallel grip),delts,7.0,183
shoulders,dumbbell,dumbbell seated shoulder press,delts,7.0,184
shoulders,dumbbell,dumbbell standing overhead press,delts,7.0,185
arms,dumbbell,dumbbell step up single leg balance with bicep curl,biceps,7.0,186
legs,dumbbell,dumbbell stiff leg deadlift,glutes,7.0,187
legs,dumbbell,dumbbell straight leg deadlift,glutes,7.0,188
legs,dumbbell,dumbbell sumo pull through,glutes,7.0,189
arms,dumbbell,dumbbell seated biceps curl to shoulder press,biceps,7.0,190
shoulders,dumbbell,dumbbell push press,delts,7.0,191
chest,dumbbell,dumbbell one arm decline chest press,pectorals,7.0,192
shoulders,ez barbell,ez barbell anti gravity press,delts,7.0,193
chest,dumbbell,dumbbell press on exercise ball,pectorals,7.0,194
arms,dumbbell,dumbbell palms in incline bench press,triceps,7.0,195
legs,dumbbell,dumbbell one arm snatch,glutes,7.0,196
shoulders,dumbbell,dumbbell one arm shoulder press v. 2,delts,7.0,197
shoulders,dumbbell,dumbbell one arm shoulder press,delts,7.0,198
legs,dumbbell,farmers walk,quads,7.0,199
abs,body weight,flag,abs,7.0,200
abs,body weight,frog planche,abs,7.0,201
chest,dumbbell,dumbbell one arm incline chest press,pectorals,7.0,202
back,body weight,front lever reps,upper back,7.0,203
chest,dumbbell,dumbbell incline one arm press,pectorals,7.0,204
legs,body weight,inverse leg curl (on pull-up cable machine),hamstrings,7.0,205
arms,dumbbell,dumbbell incline one arm hammer press on exercise ball,triceps,7.0,206
shoulders,kettlebell,kettlebell one arm jerk,delts,7.0,207
arms,dumbbell,dumbbell close grip press,triceps,7.0,208
legs,dumbbell,dumbbell clean,glutes,7.0,209
cardio,dumbbell,dumbbell burpee,cardiovascular system,7.0,210
shoulders,kettlebell,kettlebell double snatch,delts,7.0,211
shoulders,kettlebell,kettlebell one arm clean and jerk,delts,7.0,212
back,dumbbell,dumbbell bent over row,upper back,7.0,213
legs,dumbbell,dumbbell bench squat,glutes,7.0,214
shoulders,dumbbell,dumbbell bench seated press,delts,7.0,215
chest,dumbbell,dumbbell bench press,pectorals,7.0,216
shoulders,dumbbell,dumbbell arnold press v. 2,delts,7.0,217
shoulders,dumbbell,dumbbell arnold press,delts,7.0,218
shoulders,kettlebell,kettlebell one arm push press,delts,7.0,219
shoulders,kettlebell,kettlebell double push press,delts,7.0,220
shoulders,kettlebell,kettlebell one arm snatch,delts,7.0,221
shoulders,kettlebell,kettlebell pirate supper legs,delts,7.0,222
legs,kettlebell,kettlebell pistol squat,glutes,7.0,223
legs,body weight,box jump down with one leg stabilization,calves,7.0,224
chest,body weight,drop push up,pectorals,7.0,225
arms,body weight,diamond push-up,triceps,7.0,226
chest,dumbbell,deep push up,pectorals,7.0,227
chest,body weight,decline push-up,pectorals,7.0,228
shoulders,kettlebell,kettlebell thruster,delts,7.0,229
legs,barbell,kneeling jump squat,glutes,7.0,230
chest,body weight,clock push-up,pectorals,7.0,231
arms,dumbbell,dumbbell close-grip press,triceps,7.0,232
shoulders,kettlebell,kettlebell double jerk,delts,7.0,233
arms,dumbbell,dumbbell incline one arm hammer press,triceps,7.0,234
arms,dumbbell,dumbbell forward lunge triceps extension,triceps,7.0,235
chest,dumbbell,dumbbell incline one arm fly on exercise ball,pectorals,7.0,236
chest,dumbbell,dumbbell incline one arm fly,pectorals,7.0,237
arms,dumbbell,dumbbell incline hammer press on exercise ball,triceps,7.0,238
chest,dumbbell,dumbbell incline hammer press,pectorals,7.0,239
chest,dumbbell,dumbbell incline fly on exercise ball,pectorals,7.0,240
chest,dumbbell,dumbbell incline fly,pectorals,7.0,241
chest,body weight,isometric wipers,pectorals,7.0,242
chest,dumbbell,dumbbell incline bench press,pectorals,7.0,243
chest,dumbbell,dumbbell incline alternate press,pectorals,7.0,244
legs,body weight,jump squat,glutes,7.0,245
legs,body weight,jump squat v. 2,glutes,7.0,246
chest,dumbbell,dumbbell fly on exercise ball,pectorals,7.0,247
arms,kettlebell,kettlebell double alternating hang clean,biceps,7.0,248
chest,dumbbell,dumbbell fly,pectorals,7.0,249
back,kettlebell,kettlebell alternating renegade row,upper back,7.0,250
back,dumbbell,dumbbell decline shrug v. 2,traps,7.0,251
back,dumbbell,dumbbell decline shrug,traps,7.0,252
arms,dumbbell,dumbbell decline one arm hammer press,triceps,7.0,253
chest,dumbbell,dumbbell decline hammer press,pectorals,7.0,254
chest,dumbbell,dumbbell decline bench press,pectorals,7.0,255
legs,dumbbell,dumbbell deadlift,glutes,7.0,256
shoulders,dumbbell,dumbbell cuban press v. 2,delts,7.0,257
shoulders,dumbbell,dumbbell cuban press,delts,7.0,258
arms,kettlebell,kettlebell bottoms up clean from the hang position,biceps,7.0,259
chest,kettlebell,kettlebell plyo push-up,pectorals,7.0,260
shoulders,cable,cable rear delt row (with rope),delts,7.0,261
abs,body weight,bottoms-up,abs,7.0,262
legs,barbell,barbell side split squat,quads,7.0,263
back,leverage machine,assisted parallel close grip pull-up,lats,7.0,264
shoulders,barbell,barbell rear delt row,delts,7.0,265
back,weighted,weighted one hand pull up,lats,7.0,266
back,barbell,barbell pullover to press,lats,7.0,267
back,barbell,barbell pullover,lats,7.0,268
abs,barbell,barbell press sit-up,abs,7.0,269
arms,barbell,barbell pin presses,triceps,7.0,270
back,weighted,weighted muscle up (on bar),lats,7.0,271
back,barbell,barbell pendlay row,upper back,7.0,272
back,weighted,weighted muscle up,lats,7.0,273
back,leverage machine,assisted pull-up,lats,7.0,274
legs,barbell,barbell one leg squat,quads,7.0,275
legs,barbell,barbell one arm side deadlift,glutes,7.0,276
arms,barbell,barbell one arm floor press,triceps,7.0,277
back,barbell,barbell one arm bent over row,upper back,7.0,278
arms,barbell,barbell lying triceps extension skull crusher,triceps,7.0,279
arms,barbell,barbell lying triceps extension,triceps,7.0,280
arms,barbell,barbell lying preacher curl,biceps,7.0,281
legs,barbell,barbell lying lifting (on hip),glutes,7.0,282
legs,barbell,barbell rear lunge,glutes,7.0,283
legs,barbell,barbell rear lunge v. 2,glutes,7.0,284
arms,barbell,barbell reverse close-grip bench press,triceps,7.0,285
shoulders,barbell,barbell seated bradford rocky press,delts,7.0,286
back,barbell,barbell shrug,traps,7.0,287
arms,barbell,barbell seated overhead triceps extension,triceps,7.0,288
shoulders,barbell,barbell seated overhead press,delts,7.0,289
legs,barbell,barbell seated good morning,glutes,7.0,290
legs,sled machine,sled hack squat,glutes,7.0,291
arms,barbell,barbell seated close grip behind neck triceps extension,triceps,7.0,292
legs,barbell,barbell seated calf raise,calves,7.0,293
legs,barbell,barbell seated calf raise,calves,7.0,294
shoulders,barbell,barbell seated behind head military press,delts,7.0,295
back,barbell,barbell reverse grip bent over row,upper back,7.0,296
legs,weighted,weighted squat,glutes,7.0,297
abs,barbell,barbell rollerout from bench,abs,7.0,298
legs,weighted,weighted sissy squat,quads,7.0,299
legs,sled machine,sled lying squat,glutes,7.0,300
legs,sled machine,sled one leg calf press on leg press,calves,7.0,301
back,barbell,barbell reverse grip incline bench row,upper back,7.0,302
chest,barbell,barbell reverse grip incline bench press,pectorals,7.0,303
chest,barbell,barbell reverse grip decline bench press,pectorals,7.0,304
legs,smith machine,smith deadlift,glutes,7.0,305
arms,barbell,barbell lying close-grip triceps extension,triceps,7.0,306
back,leverage machine,assisted standing chin-up,lats,7.0,307
legs,band,band squat,glutes,7.0,308
back,barbell,barbell bent over row,upper back,7.0,309
cardio,body weight,swing 360,cardiovascular system,7.0,310
legs,barbell,barbell bench front squat,quads,7.0,311
legs,body weight,swimmer kicks v. 2 (male),glutes,7.0,312
back,band,band fixed back close grip pulldown,lats,7.0,313
legs,band,band stiff leg deadlift,glutes,7.0,314
legs,smith machine,smith squat,glutes,7.0,315
back,band,band fixed back underhand pulldown,lats,7.0,316
legs,band,band single leg split squat,quads,7.0,317
arms,barbell,barbell close-grip bench press,triceps,7.0,318
legs,smith machine,smith sumo squat,glutes,7.0,319
abs,body weight,straddle planche,abs,7.0,320
abs,body weight,straddle maltese,abs,7.0,321
cardio,body weight,star jump (male),cardiovascular system,7.0,322
shoulders,band,band shoulder press,delts,7.0,323
legs,barbell,snatch pull,quads,7.0,324
legs,band,band one arm single leg split squat,quads,7.0,325
chest,band,band one arm twisting chest press,pectorals,7.0,326
legs,smith machine,smith low bar squat,glutes,7.0,327
legs,smith machine,smith leg press,glutes,7.0,328
back,leverage machine,assisted standing pull-up,lats,7.0,329
legs,smith machine,smith front squat (clean grip),glutes,7.0,330
arms,barbell,barbell lying close-grip press,triceps,7.0,331
legs,barbell,barbell lunge,glutes,7.0,332
legs,barbell,barbell lateral lunge,glutes,7.0,333
back,barbell,barbell incline row,upper back,7.0,334
arms,barbell,barbell incline reverse-grip press,triceps,7.0,335
legs,barbell,barbell good morning,hamstrings,7.0,336
legs,barbell,barbell glute bridge two legs on bench (male),glutes,7.0,337
legs,barbell,barbell glute bridge,glutes,7.0,338
legs,smith machine,smith full squat,glutes,7.0,339
chest,band,band bench press,pectorals,7.0,340
legs,barbell,barbell front chest squat,glutes,7.0,341
legs,smith machine,smith hack squat,glutes,7.0,342
back,barbell,barbell decline wide-grip pullover,lats,7.0,343
chest,barbell,barbell decline wide-grip press,pectorals,7.0,344
chest,barbell,barbell decline pullover,pectorals,7.0,345
arms,barbell,barbell decline close grip to skull press,triceps,7.0,346
legs,trap bar,trap bar deadlift,glutes,7.0,347
legs,tire,tire flip,glutes,7.0,348
legs,sled machine,sled closer hack squat,glutes,7.0,349
legs,barbell,squat jerk,quads,7.0,350
shoulders,barbell,barbell upright row v. 3,delts,7.0,351
back,body weight,rear pull-up,lats,7.0,352
legs,barbell,barbell step-up,glutes,7.0,353
arms,body weight,body-up,triceps,7.0,354
back,body weight,skin the cat,upper back,7.0,355
shoulders,barbell,barbell standing bradford press,delts,7.0,356
abs,body weight,arms overhead full sit-up (male),abs,7.0,357
shoulders,barbell,barbell standing wide military press,delts,7.0,358
arms,barbell,barbell standing wide grip biceps curl,biceps,7.0,359
back,body weight,bench pull-ups,lats,7.0,360
cardio,body weight,wheel run,cardiovascular system,7.0,361
legs,barbell,barbell standing calf raise,calves,7.0,362
back,body weight,side-to-side chin,lats,7.0,363
legs,sled machine,sled 45 degrees one leg press,glutes,7.0,364
back,body weight,rocky pull-up pulldown,lats,7.0,365
arms,body weight,biceps leg concentration curl,biceps,7.0,366
shoulders,barbell,barbell standing close grip military press,delts,7.0,367
arms,body weight,ring dips,triceps,7.0,368
arms,body weight,biceps pull-up,biceps,7.0,369
back,body weight,bodyweight squatting row (with towel),upper back,7.0,370
arms,barbell,barbell standing overhead triceps extension,triceps,7.0,371
back,body weight,reverse grip pull-up,lats,7.0,372
legs,body weight,single leg squat (pistol) male,glutes,7.0,373
back,cable,alternate lateral pulldown,lats,7.0,374
legs,barbell,barbell split squat v. 2,quads,7.0,375
abs,barbell,barbell standing ab rollerout,abs,7.0,376
cardio,body weight,semi squat jump (male),cardiovascular system,7.0,377
chest,body weight,raise single arm push-up,pectorals,7.0,378
legs,barbell,barbell side split squat v. 2,quads,7.0,379
legs,barbell,barbell single leg deadlift,glutes,7.0,380
shoulders,barbell,barbell wide-grip upright row,delts,7.0,381
legs,barbell,barbell stiff leg good morning,glutes,7.0,382
legs,barbell,barbell single leg split squat,quads,7.0,383
back,body weight,bodyweight standing one arm row (with towel),upper back,7.0,384
shoulders,rope,battling ropes,delts,7.0,385
abs,body weight,wind sprints,abs,7.0,386
back,body weight,bodyweight standing row (with towel),upper back,7.0,387
shoulders,barbell,barbell upright row v. 2,delts,7.0,388
cardio,body weight,scissor jumps (male),cardiovascular system,7.0,389
back,body weight,scapular pull-up,traps,7.0,390
shoulders,barbell,barbell upright row,delts,7.0,391
arms,dumbbell,dumbbell standing one arm reverse curl,biceps,6.0,392
back,body weight,two toe touch (male),spine,6.0,393
arms,dumbbell,dumbbell standing zottman preacher curl,biceps,6.0,394
arms,body weight,triceps press,triceps,6.0,395
abs,body weight,groin crunch,abs,6.0,396
abs,body weight,gorilla chin,abs,6.0,397
arms,dumbbell,dumbbell standing triceps extension,triceps,6.0,398
arms,dumbbell,dumbbell standing preacher curl,biceps,6.0,399
legs,body weight,walking lunge,glutes,6.0,400
abs,body weight,vertical leg raise (on parallel bars),abs,6.0,401
legs,sled machine,hack calf raise,calves,6.0,402
cardio,body weight,walking high knees lunge,cardiovascular system,6.0,403
legs,sled machine,hack one leg calf raise,calves,6.0,404
arms,dumbbell,dumbbell standing reverse curl,biceps,6.0,405
shoulders,dumbbell,dumbbell standing palms in press,delts,6.0,406
arms,weighted,weighted bench dip,triceps,6.0,407
back,weighted,weighted close grip chin-up on dip cage,lats,6.0,408
back,body weight,wide grip pull-up,lats,6.0,409
legs,body weight,suspended split squat,quads,6.0,410
arms,body weight,three bench dip,triceps,6.0,411
arms,dumbbell,dumbbell standing concentration curl,biceps,6.0,412
abs,body weight,suspended abdominal fallout,abs,6.0,413
chest,body weight,incline reverse grip push-up,pectorals,6.0,414
chest,body weight,wide-grip chest dip on high parallel bars,pectorals,6.0,415
arms,dumbbell,dumbbell standing inner biceps curl v. 2,biceps,6.0,416
chest,body weight,incline scapula push up,serratus anterior,6.0,417
chest,body weight,superman push-up,pectorals,6.0,418
shoulders,dumbbell,dumbbell standing front raise above head,delts,6.0,419
legs,dumbbell,dumbbell standing calf raise,calves,6.0,420
chest,body weight,incline push-up (on box),pectorals,6.0,421
legs,body weight,standing calf raise (on a staircase),calves,6.0,422
shoulders,barbell,standing behind neck press,delts,6.0,423
back,body weight,standing archer,upper back,6.0,424
arms,body weight,stalder press,triceps,6.0,425
arms,dumbbell,dumbbell standing biceps curl,biceps,6.0,426
legs,body weight,squat to overhead reach with twist,quads,6.0,427
legs,body weight,squat to overhead reach,quads,6.0,428
chest,body weight,suspended push-up,pectorals,6.0,429
arms,dumbbell,dumbbell standing kickback,triceps,6.0,430
shoulders,dumbbell,dumbbell standing one arm palm in press,delts,6.0,431
legs,body weight,hug keens to chest,glutes,6.0,432
arms,dumbbell,dumbbell standing one arm extension,triceps,6.0,433
arms,dumbbell,dumbbell standing one arm curl over incline bench,biceps,6.0,434
arms,dumbbell,dumbbell standing one arm curl (over incline bench),biceps,6.0,435
legs,body weight,glute bridge two legs on bench (male),glutes,6.0,436
cardio,body weight,high knee against wall,cardiovascular system,6.0,437
abs,body weight,hip raise (bent knee),abs,6.0,438
back,body weight,suspended row,upper back,6.0,439
chest,dumbbell,hyght dumbbell fly,pectorals,6.0,440
chest,body weight,incline push-up,pectorals,6.0,441
back,body weight,hyperextension,spine,6.0,442
back,body weight,hyperextension (on bench),spine,6.0,443
arms,dumbbell,dumbbell standing one arm concentration curl,biceps,6.0,444
arms,body weight,incline close-grip push-up,triceps,6.0,445
abs,body weight,incline leg hip raise (leg straight),abs,6.0,446
back,body weight,wide grip rear pull-up,lats,6.0,447
chest,body weight,incline push up depth jump,pectorals,6.0,448
legs,weighted,weighted cossack squats (male),glutes,6.0,449
back,stability ball,exercise ball back extension with knees off ground,spine,6.0,450
legs,weighted,weighted donkey calf raise,calves,6.0,451
arms,dumbbell,dumbbell zottman preacher curl,biceps,6.0,452
arms,ez barbell,ez bar lying close grip triceps extension behind head,triceps,6.0,453
back,ez barbell,ez bar reverse grip bent over row,upper back,6.0,454
arms,ez barbell,ez bar seated close grip concentration curl,biceps,6.0,455
arms,ez barbell,ez barbell close grip preacher curl,biceps,6.0,456
arms,ez barbell,ez barbell close-grip curl,biceps,6.0,457
arms,ez barbell,ez barbell curl,biceps,6.0,458
abs,weighted,weighted russian twist v. 2,abs,6.0,459
arms,ez barbell,ez barbell decline close grip face press,triceps,6.0,460
shoulders,dumbbell,dumbbell w-press,delts,6.0,461
arms,ez barbell,ez barbell decline triceps extension,triceps,6.0,462
arms,ez barbell,ez barbell incline triceps extension,triceps,6.0,463
arms,ez barbell,ez barbell jm bench press,triceps,6.0,464
arms,ez barbell,ez barbell reverse grip curl,biceps,6.0,465
arms,ez barbell,ez barbell reverse grip preacher curl,biceps,6.0,466
legs,bosu ball,squat on bosu ball,quads,6.0,467
arms,dumbbell,dumbbell zottman curl,biceps,6.0,468
arms,dumbbell,dumbbells seated triceps extension,triceps,6.0,469
back,ez barbell,ez bar lying bent arms pullover,lats,6.0,470
arms,dumbbell,exercise ball supine triceps extension,triceps,6.0,471
chest,weighted,weighted straight bar dip,pectorals,6.0,472
arms,stability ball,exercise ball dip,triceps,6.0,473
legs,weighted,weighted stretch lunge,glutes,6.0,474
back,stability ball,exercise ball back extension with hands behind head,spine,6.0,475
back,stability ball,exercise ball back extension with arms extended,spine,6.0,476
back,body weight,elevator,upper back,6.0,477
legs,dumbbell,exercise ball on the wall calf raise,calves,6.0,478
legs,dumbbell,exercise ball on the wall calf raise (tennis ball between ankles),calves,6.0,479
abs,body weight,elbow-to-knee,abs,6.0,480
legs,dumbbell,exercise ball on the wall calf raise (tennis ball between knees),calves,6.0,481
legs,stability ball,exercise ball one leg prone lower body rotation,glutes,6.0,482
back,body weight,elbow lift - reverse push-up,upper back,6.0,483
legs,stability ball,exercise ball one legged diagonal kick hamstring curl,glutes,6.0,484
chest,stability ball,exercise ball pike push up,pectorals,6.0,485
arms,body weight,elbow dips,triceps,6.0,486
back,stability ball,exercise ball prone leg raise,spine,6.0,487
arms,ez barbell,ez barbell seated triceps extension,triceps,6.0,488
arms,ez barbell,ez barbell spider curl,biceps,6.0,489
abs,wheel roller,wheel rollerout,abs,6.0,490
arms,weighted,weighted triceps dip on high parallel bars,triceps,6.0,491
legs,barbell,frankenstein squat,glutes,6.0,492
abs,body weight,frog crunch,abs,6.0,493
arms,dumbbell,dumbbell tate press,triceps,6.0,494
legs,dumbbell,dumbbell supported squat,quads,6.0,495
arms,weighted,weighted tricep dips,triceps,6.0,496
chest,dumbbell,dumbbell straight arm pullover,pectorals,6.0,497
legs,weighted,weighted lunge with swing,glutes,6.0,498
